mcs	time(hr)	hep1.dict['APAP']	hep1.dict['APAPG']	hep1.dict['APAPS']	blood1.dict['APAP']	blood1.dict['APAPG']	blood1.dict['APAPS']	PBPKspeciesDictAPAP['CLiver']	PBPKspeciesDictAPAPG['CLiver']	PBPKspeciesDictAPAPS['CLiver']	PBPKspeciesDictAPAP['CVen']	PBPKspeciesDictAPAPG['CVen']	PBPKspeciesDictAPAPS['CVen']	PBPKspeciesDictAPAP['CTubules']	PBPKspeciesDictAPAPG['CTubules']	PBPKspeciesDictAPAPS['CTubules']	SUBCELLspeciesDict['APAP']	SUBCELLspeciesDict['APAPconj_Glu']	SUBCELLspeciesDict['APAPconj_Sul']	SUBCELLspeciesDict['NAPQI']	SUBCELLspeciesDict['NAPQIGSH']	SUBCELLspeciesDict['GSH']
3060	0.85	0.378399427285	0.423158833184	0.134834897102	0.0916671919446	0.00525381195224	0.0177562655101	0.000157080900116	9.00293216135e-06	3.04271365782e-05	0.000341769076877	6.02177082983e-06	2.38285012046e-05	3.18756790631e-05	5.39319286533e-06	2.89773785952e-05	0.378399427285	0.423158833184	0.134834897102	4.53908245594e-06	0.0113262517068	9.99002829438
3120	0.866666666667	0.378544109348	0.432751156862	0.136595606412	0.0912860885828	0.00543884974367	0.0182602645021	0.000156427841395	9.32001292074e-06	3.12907892509e-05	0.000343172959096	6.27402707981e-06	2.46200819084e-05	3.27453012326e-05	5.74783826121e-06	3.06897111792e-05	0.378544109348	0.432751156862	0.136595606412	4.54052842921e-06	0.0115983741434	9.98981663872
3180	0.883333333333	0.378656281505	0.44231768905	0.138315297331	0.0909032131052	0.00562621471846	0.0187645736751	0.000155771745977	9.64108154156e-06	3.21549734496e-05	0.000344500215859	6.53075661014e-06	2.54147813196e-05	3.36184934821e-05	6.11739710481e-06	3.24591766696e-05	0.378656281505	0.44231768905	0.138315297331	4.54167151072e-06	0.011870568292	9.9896061777
3240	0.9	0.378738603962	0.451857792197	0.139994761938	0.0905187168877	0.00581587360488	0.0192689995662	0.000155112873259	9.96608100933e-06	3.30193576567e-05	0.000345752673402	6.79190596323e-06	2.62122051204e-05	3.44950608825e-05	6.50213517943e-06	3.42860048589e-05	0.378738603962	0.451857792197	0.139994761938	4.54253652509e-06	0.0121428167839	9.98939692149
3300	0.916666666667	0.37879351578	0.461370889299	0.141634788442	0.0901327391818	0.00600779356484	0.019773355718	0.000154451461862	1.02949550527e-05	3.38836223583e-05	0.000346932113408	7.05742178527e-06	2.70119715983e-05	3.53748131509e-05	6.90231509754e-06	3.61703969154e-05	0.37879351578	0.461370889299	0.141634788442	4.54314620289e-06	0.0124151036758	9.98918887878
3360	0.933333333333	0.378823253346	0.470856458784	0.143236159994	0.0897454081239	0.00620194217824	0.020277462503	0.000153787731361	1.06276481166e-05	3.47474597451e-05	0.00034804027426	7.32725085624e-06	2.78137114243e-05	3.62575645376e-05	7.3181963067e-06	3.81125262963e-05	0.378823253346	0.470856458784	0.143236159994	4.54352136093e-06	0.0126874143298	9.98898205689
3420	0.95	0.378829867291	0.48031402983	0.144799653631	0.0893568416589	0.0063982874285	0.020781146951	0.000153121883867	1.09641053375e-05	3.56105734152e-05	0.000349078852244	7.60134011698e-06	2.86170674244e-05	3.71431337152e-05	7.75003509711e-06	4.01125396444e-05	0.378829867291	0.48031402983	0.144799653631	4.54368106641e-06	0.0129597353031	9.98877646194
3480	0.966666666667	0.378815237963	0.489743178088	0.146326039362	0.0889671483846	0.00659679768931	0.0212842425785	0.000152454105472	1.13042725204e-05	3.64726780826e-05	0.000350049502698	7.87963669388e-06	2.94216943459e-05	3.8031343672e-05	8.19808461096e-06	4.21705576685e-05	0.378815237963	0.489743178088	0.146326039362	4.54364278636e-06	0.0132320542482	9.98857209889
3540	0.983333333333	0.378781089614	0.499143521766	0.147816079361	0.0885764283258	0.00679744171232	0.0217865892207	0.000151784567579	1.16480961182e-05	3.73334992886e-05	0.000350953841131	8.162087921e-06	3.02272586194e-05	3.89220216077e-05	8.66259485314e-06	4.42866760077e-05	0.378781089614	0.499143521766	0.147816079361	4.54342252406e-06	0.0135043598205	9.98836897168
3600	1.0	0.378729003384	0.508514718044	0.149270527267	0.0881847736415	0.00700018861576	0.0222880328655	0.000151113428112	1.1995523212e-05	3.81927731183e-05	0.000351793444283	8.44864136022e-06	3.10334381172e-05	3.98149988321e-05	9.14381270333e-06	4.64609660774e-05	0.378729003384	0.508514718044	0.149270527267	4.54303494333e-06	0.0137766415944	9.98816708331
